numLogin,csm,numTickets,daysEmail,emailIntegration,daysEcommerce,ecommerceIntegration,daysWhatsAppApi,whatsAppApiIntegration,daysGiftback,giftbackIntegration, daysFirstCampain,firstCampain,numCampains,receitaInflu,receitaTotal,receitaGiftback,receitacampanha,receitaPainelvendedor,receitaFluxo,ROI,churn
1,1,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
2,1,0,-1.0,0,24.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,32793.1,0.0,0.0,0.0,0.0,-1.0,0
23,0,0,2.0,1,0.0,1,-1.0,0,2.0,1,-1.0,0,0,0.0,40965.49,0.0,0.0,0.0,0.0,-1.0,0
0,0,0,-1.0,0,1.0,1,14.0,1,3.0,1,-1.0,0,0,0.0,1204.74,0.0,0.0,0.0,0.0,-1.0,0
14,0,0,113.0,1,0.0,1,56.0,1,70.0,1,81.0,1,0,0.0,84203.84,0.0,0.0,0.0,0.0,-1.0,0
3,0,0,-1.0,0,1.0,1,17.0,1,-1.0,0,-1.0,0,0,0.0,92225.48,0.0,0.0,0.0,0.0,-1.0,0
0,0,0,-1.0,0,0.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,13873.77,0.0,0.0,0.0,0.0,-1.0,0
6,0,0,-1.0,0,5.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,9804.16,0.0,0.0,0.0,0.0,-1.0,0
23,0,0,73.0,1,0.0,1,-1.0,0,1.0,1,-1.0,0,0,0.0,67969.55,0.0,0.0,0.0,0.0,-1.0,0
10,0,0,96.0,1,0.0,1,96.0,1,119.0,1,-1.0,0,0,0.0,415480.68,0.0,0.0,0.0,0.0,-1.0,0
2,0,0,-1.0,0,61.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,642.0,0.0,0.0,0.0,0.0,-1.0,0
1,0,0,80.0,1,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,20082.25,0.0,0.0,0.0,0.0,-1.0,0
0,0,0,-1.0,0,0.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
1,1,0,-1.0,0,6.0,1,29.0,1,19.0,1,-1.0,0,0,0.0,107305.53,0.0,0.0,0.0,0.0,-1.0,0
15,0,0,95.0,1,2.0,1,-1.0,0,17.0,1,-1.0,0,0,0.0,99963.72,0.0,0.0,0.0,0.0,-1.0,0
51,0,0,86.0,1,-1.0,0,-1.0,0,35.0,1,35.0,1,0,0.0,12515.2,0.0,0.0,0.0,0.0,-1.0,0
35,0,0,123.0,1,1.0,1,29.0,1,1.0,1,72.0,1,0,0.0,19664.48,0.0,0.0,0.0,0.0,-1.0,0
10,0,0,-1.0,0,12.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,932.7,0.0,0.0,0.0,0.0,-1.0,0
17,0,0,19.0,1,1.0,1,19.0,1,36.0,1,-1.0,0,0,0.0,970.66,0.0,0.0,0.0,0.0,-1.0,0
18,0,0,5.0,1,0.0,1,5.0,1,-1.0,0,-1.0,0,0,0.0,2990.32,0.0,0.0,0.0,0.0,-1.0,0
55,0,15,99.0,1,2.0,1,15.0,1,20.0,1,74.0,1,0,0.0,6923.07,0.0,0.0,0.0,0.0,-1.0,0
9,0,0,1.0,1,0.0,1,14.0,1,1.0,1,-1.0,0,0,0.0,11046.77,0.0,0.0,0.0,0.0,-1.0,0
12,0,0,5.0,1,5.0,1,15.0,1,-1.0,0,-1.0,0,0,0.0,13514.1,0.0,0.0,0.0,0.0,-1.0,0
5,0,0,13.0,1,1.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,15405.47,0.0,0.0,0.0,0.0,-1.0,0
24,0,24,5.0,1,14.0,1,14.0,1,19.0,1,67.0,1,0,0.0,20392.6,0.0,0.0,0.0,0.0,-1.0,0
28,0,0,-1.0,0,-1.0,0,-1.0,0,38.0,1,-1.0,0,0,0.0,23853.2,0.0,0.0,0.0,0.0,-1.0,0
37,0,0,1.0,1,0.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,55198.07,0.0,0.0,0.0,0.0,-1.0,0
4,0,0,-1.0,0,6.0,1,-1.0,0,38.0,1,-1.0,0,0,0.0,102445.85,0.0,0.0,0.0,0.0,-1.0,0
2,0,0,-1.0,0,0.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,229333.53,0.0,0.0,0.0,0.0,-1.0,0
5,0,24,2.0,1,2.0,1,-1.0,0,36.0,1,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
5,0,0,69.0,1,69.0,1,77.0,1,77.0,1,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
3,0,0,-1.0,0,-1.0,0,27.0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
2,1,0,-1.0,0,-1.0,0,15.0,1,-1.0,0,-1.0,0,0,0.0,10.0,0.0,0.0,0.0,0.0,-1.0,0
4,1,0,5.0,1,-1.0,0,5.0,1,-1.0,0,-1.0,0,0,0.0,131.6,0.0,0.0,0.0,0.0,-1.0,0
8,1,0,-1.0,0,0.0,1,3.0,1,28.0,1,-1.0,0,0,0.0,551.2,0.0,0.0,0.0,0.0,-1.0,0
6,1,0,0.0,1,0.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,934.0,0.0,0.0,0.0,0.0,-1.0,0
28,1,0,-1.0,0,10.0,1,44.0,1,18.0,1,-1.0,0,0,0.0,961.32,0.0,0.0,0.0,0.0,-1.0,0
21,1,0,18.0,1,29.0,1,42.0,1,31.0,1,-1.0,0,0,0.0,1017.83,0.0,0.0,0.0,0.0,-1.0,0
41,1,0,2.0,1,1.0,1,6.0,1,12.0,1,30.0,1,0,0.0,1190.1,0.0,0.0,0.0,0.0,-1.0,0
8,1,0,7.0,1,7.0,1,19.0,1,-1.0,0,-1.0,0,0,0.0,1272.26,0.0,0.0,0.0,0.0,-1.0,0
11,1,0,2.0,1,2.0,1,9.0,1,10.0,1,-1.0,0,0,0.0,2552.36,0.0,0.0,0.0,0.0,-1.0,0
16,1,0,29.0,1,-1.0,0,29.0,1,13.0,1,-1.0,0,0,0.0,2752.98,0.0,0.0,0.0,0.0,-1.0,0
1,1,0,7.0,1,7.0,1,22.0,1,-1.0,0,-1.0,0,0,0.0,2829.15,0.0,0.0,0.0,0.0,-1.0,0
12,1,0,5.0,1,5.0,1,-1.0,0,33.0,1,-1.0,0,0,0.0,3126.34,0.0,0.0,0.0,0.0,-1.0,0
8,1,0,4.0,1,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,3503.0,0.0,0.0,0.0,0.0,-1.0,0
21,1,0,18.0,1,18.0,1,23.0,1,-1.0,0,63.0,1,0,0.0,3814.8,0.0,0.0,0.0,0.0,-1.0,0
9,1,14,7.0,1,1.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,4161.63,0.0,0.0,0.0,0.0,-1.0,0
29,1,0,0.0,1,4.0,1,5.0,1,8.0,1,-1.0,0,0,0.0,4216.83,0.0,0.0,0.0,0.0,-1.0,0
65,1,0,0.0,1,0.0,1,-1.0,0,2.0,1,-1.0,0,0,0.0,5263.5,0.0,0.0,0.0,0.0,-1.0,0
30,1,0,9.0,1,9.0,1,9.0,1,45.0,1,-1.0,0,0,0.0,5371.98,0.0,0.0,0.0,0.0,-1.0,0
2,1,0,6.0,1,6.0,1,13.0,1,-1.0,0,-1.0,0,0,0.0,5943.0,0.0,0.0,0.0,0.0,-1.0,0
12,1,0,-1.0,0,3.0,1,14.0,1,6.0,1,65.0,1,0,0.0,6467.91,0.0,0.0,0.0,0.0,-1.0,0
85,1,0,24.0,1,3.0,1,-1.0,0,43.0,1,-1.0,0,0,0.0,6501.56,0.0,0.0,0.0,0.0,-1.0,0
53,1,0,24.0,1,2.0,1,23.0,1,39.0,1,42.0,1,0,0.0,6845.0,0.0,0.0,0.0,0.0,-1.0,0
21,1,9,3.0,1,3.0,1,-1.0,0,43.0,1,-1.0,0,0,0.0,7004.32,0.0,0.0,0.0,0.0,-1.0,0
47,1,0,0.0,1,0.0,1,5.0,1,10.0,1,63.0,1,0,0.0,7875.23,0.0,0.0,0.0,0.0,-1.0,0
18,1,0,10.0,1,4.0,1,40.0,1,96.0,1,-1.0,0,0,0.0,8463.5,0.0,0.0,0.0,0.0,-1.0,0
69,1,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,9095.0,0.0,0.0,0.0,0.0,-1.0,0
17,1,0,4.0,1,4.0,1,-1.0,0,33.0,1,-1.0,0,0,0.0,9412.62,0.0,0.0,0.0,0.0,-1.0,0
33,1,0,20.0,1,0.0,1,26.0,1,53.0,1,32.0,1,0,0.0,10156.35,0.0,0.0,0.0,0.0,-1.0,0
22,1,0,23.0,1,-1.0,0,7.0,1,-1.0,0,53.0,1,0,0.0,10251.99,0.0,0.0,0.0,0.0,-1.0,0
96,1,11,28.0,1,28.0,1,7.0,1,37.0,1,57.0,1,0,0.0,10572.4,0.0,0.0,0.0,0.0,-1.0,0
38,1,0,7.0,1,2.0,1,10.0,1,29.0,1,66.0,1,0,0.0,11406.18,0.0,0.0,0.0,0.0,-1.0,0
22,1,0,9.0,1,9.0,1,9.0,1,59.0,1,-1.0,0,0,0.0,11875.92,0.0,0.0,0.0,0.0,-1.0,0
69,1,0,15.0,1,8.0,1,11.0,1,9.0,1,125.0,1,0,0.0,12472.41,0.0,0.0,0.0,0.0,-1.0,0
8,1,0,22.0,1,4.0,1,7.0,1,-1.0,0,101.0,1,0,0.0,12905.5,0.0,0.0,0.0,0.0,-1.0,0
59,1,0,77.0,1,0.0,1,-1.0,0,10.0,1,96.0,1,0,0.0,13753.87,0.0,0.0,0.0,0.0,-1.0,0
9,1,0,16.0,1,16.0,1,21.0,1,-1.0,0,-1.0,0,0,0.0,13755.4,0.0,0.0,0.0,0.0,-1.0,0
9,1,0,51.0,1,7.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,14083.18,0.0,0.0,0.0,0.0,-1.0,0
9,1,0,31.0,1,5.0,1,9.0,1,34.0,1,-1.0,0,0,0.0,14276.32,0.0,0.0,0.0,0.0,-1.0,0
40,1,0,37.0,1,14.0,1,7.0,1,12.0,1,46.0,1,0,0.0,14554.22,0.0,0.0,0.0,0.0,-1.0,0
37,1,0,73.0,1,-1.0,0,20.0,1,-1.0,0,91.0,1,0,0.0,14594.6,0.0,0.0,0.0,0.0,-1.0,0
1,1,0,35.0,1,35.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,14838.6,0.0,0.0,0.0,0.0,-1.0,0
21,1,0,28.0,1,0.0,1,4.0,1,13.0,1,145.0,1,0,0.0,14996.07,0.0,0.0,0.0,0.0,-1.0,0
66,1,0,27.0,1,6.0,1,6.0,1,41.0,1,44.0,1,0,0.0,15899.25,0.0,0.0,0.0,0.0,-1.0,0
39,1,17,2.0,1,2.0,1,23.0,1,28.0,1,40.0,1,0,0.0,17489.94,0.0,0.0,0.0,0.0,-1.0,0
80,1,20,10.0,1,2.0,1,14.0,1,41.0,1,59.0,1,0,0.0,17746.61,0.0,0.0,0.0,0.0,-1.0,0
26,1,0,15.0,1,7.0,1,8.0,1,-1.0,0,74.0,1,0,0.0,18112.5,0.0,0.0,0.0,0.0,-1.0,0
10,1,0,-1.0,0,0.0,1,5.0,1,-1.0,0,-1.0,0,0,0.0,19522.5,0.0,0.0,0.0,0.0,-1.0,0
51,1,0,-1.0,0,5.0,1,22.0,1,-1.0,0,-1.0,0,0,0.0,19902.5,0.0,0.0,0.0,0.0,-1.0,0
11,1,0,15.0,1,14.0,1,6.0,1,-1.0,0,-1.0,0,0,0.0,20129.95,0.0,0.0,0.0,0.0,-1.0,0
28,1,0,13.0,1,13.0,1,29.0,1,56.0,1,55.0,1,0,0.0,20416.52,0.0,0.0,0.0,0.0,-1.0,0
103,1,0,-1.0,0,22.0,1,23.0,1,24.0,1,-1.0,0,0,0.0,22069.17,0.0,0.0,0.0,0.0,-1.0,0
64,1,0,48.0,1,8.0,1,9.0,1,-1.0,0,74.0,1,0,0.0,22557.23,0.0,0.0,0.0,0.0,-1.0,0
10,1,0,-1.0,0,5.0,1,12.0,1,44.0,1,-1.0,0,0,0.0,24373.12,0.0,0.0,0.0,0.0,-1.0,0
31,1,0,0.0,1,0.0,1,-1.0,0,39.0,1,94.0,1,0,0.0,25052.1,0.0,0.0,0.0,0.0,-1.0,0
111,1,14,-1.0,0,9.0,1,5.0,1,-1.0,0,38.0,1,0,0.0,25730.8,0.0,0.0,0.0,0.0,-1.0,0
43,1,0,11.0,1,11.0,1,-1.0,0,36.0,1,31.0,1,0,0.0,25781.49,0.0,0.0,0.0,0.0,-1.0,0
10,1,0,14.0,1,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,26092.24,0.0,0.0,0.0,0.0,-1.0,0
38,1,0,90.0,1,5.0,1,6.0,1,63.0,1,34.0,1,0,0.0,26710.25,0.0,0.0,0.0,0.0,-1.0,0
13,1,0,5.0,1,5.0,1,41.0,1,50.0,1,-1.0,0,0,0.0,27248.49,0.0,0.0,0.0,0.0,-1.0,0
25,1,0,9.0,1,4.0,1,9.0,1,64.0,1,71.0,1,0,0.0,27264.36,0.0,0.0,0.0,0.0,-1.0,0
21,1,0,14.0,1,13.0,1,12.0,1,18.0,1,46.0,1,0,0.0,28343.65,0.0,0.0,0.0,0.0,-1.0,0
11,1,0,4.0,1,-1.0,0,29.0,1,31.0,1,-1.0,0,0,0.0,28793.31,0.0,0.0,0.0,0.0,-1.0,0
40,1,0,48.0,1,12.0,1,15.0,1,53.0,1,41.0,1,0,0.0,29252.55,0.0,0.0,0.0,0.0,-1.0,0
0,1,0,52.0,1,52.0,1,51.0,1,-1.0,0,-1.0,0,0,0.0,31191.8,0.0,0.0,0.0,0.0,-1.0,0
60,1,0,13.0,1,12.0,1,12.0,1,21.0,1,56.0,1,0,0.0,35230.12,0.0,0.0,0.0,0.0,-1.0,0
46,1,0,9.0,1,1.0,1,14.0,1,17.0,1,-1.0,0,0,0.0,42326.22,0.0,0.0,0.0,0.0,-1.0,0
29,1,0,86.0,1,19.0,1,26.0,1,92.0,1,84.0,1,0,0.0,43738.1,0.0,0.0,0.0,0.0,-1.0,0
3,1,0,19.0,1,-1.0,0,19.0,1,-1.0,0,-1.0,0,0,0.0,45479.6,0.0,0.0,0.0,0.0,-1.0,0
4,1,0,18.0,1,18.0,1,18.0,1,-1.0,0,-1.0,0,0,0.0,48784.61,0.0,0.0,0.0,0.0,-1.0,0
46,1,0,15.0,1,12.0,1,44.0,1,42.0,1,40.0,1,0,0.0,51297.14,0.0,0.0,0.0,0.0,-1.0,0
9,1,0,-1.0,0,7.0,1,7.0,1,62.0,1,-1.0,0,0,0.0,52215.39,0.0,0.0,0.0,0.0,-1.0,0
23,1,0,1.0,1,1.0,1,33.0,1,-1.0,0,-1.0,0,0,0.0,53071.77,0.0,0.0,0.0,0.0,-1.0,0
61,1,0,21.0,1,7.0,1,10.0,1,21.0,1,80.0,1,0,0.0,55100.63,0.0,0.0,0.0,0.0,-1.0,0
52,1,0,15.0,1,7.0,1,14.0,1,47.0,1,-1.0,0,0,0.0,55195.62,0.0,0.0,0.0,0.0,-1.0,0
59,1,0,8.0,1,8.0,1,55.0,1,15.0,1,42.0,1,0,0.0,56096.04,0.0,0.0,0.0,0.0,-1.0,0
69,1,0,21.0,1,0.0,1,-1.0,0,42.0,1,132.0,1,0,0.0,58422.11,0.0,0.0,0.0,0.0,-1.0,0
15,1,20,14.0,1,-1.0,0,8.0,1,-1.0,0,-1.0,0,0,0.0,59223.96,0.0,0.0,0.0,0.0,-1.0,0
11,1,0,44.0,1,-1.0,0,32.0,1,-1.0,0,-1.0,0,0,0.0,60620.35,0.0,0.0,0.0,0.0,-1.0,0
32,1,3,67.0,1,1.0,1,15.0,1,42.0,1,34.0,1,0,0.0,64904.05,0.0,0.0,0.0,0.0,-1.0,0
18,1,0,45.0,1,8.0,1,17.0,1,17.0,1,87.0,1,0,0.0,68529.71,0.0,0.0,0.0,0.0,-1.0,0
44,1,0,107.0,1,9.0,1,16.0,1,23.0,1,71.0,1,0,0.0,72948.39,0.0,0.0,0.0,0.0,-1.0,0
21,1,0,7.0,1,7.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,86490.94,0.0,0.0,0.0,0.0,-1.0,0
7,1,0,2.0,1,2.0,1,2.0,1,28.0,1,-1.0,0,0,0.0,93514.73,0.0,0.0,0.0,0.0,-1.0,0
122,1,0,17.0,1,0.0,1,13.0,1,105.0,1,43.0,1,0,0.0,94260.71,0.0,0.0,0.0,0.0,-1.0,0
134,1,0,-1.0,0,-1.0,0,53.0,1,41.0,1,-1.0,0,0,0.0,95685.43,0.0,0.0,0.0,0.0,-1.0,0
121,1,0,43.0,1,12.0,1,41.0,1,22.0,1,53.0,1,0,0.0,97216.39,0.0,0.0,0.0,0.0,-1.0,0
15,1,0,111.0,1,29.0,1,-1.0,0,48.0,1,-1.0,0,0,0.0,99936.47,0.0,0.0,0.0,0.0,-1.0,0
43,1,0,33.0,1,-1.0,0,28.0,1,-1.0,0,36.0,1,0,0.0,100796.87,0.0,0.0,0.0,0.0,-1.0,0
2,1,0,-1.0,0,29.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,106154.76,0.0,0.0,0.0,0.0,-1.0,0
36,1,0,52.0,1,0.0,1,12.0,1,55.0,1,46.0,1,0,0.0,107355.7,0.0,0.0,0.0,0.0,-1.0,0
51,1,0,4.0,1,49.0,1,-1.0,0,64.0,1,51.0,1,0,0.0,110261.98,0.0,0.0,0.0,0.0,-1.0,0
41,1,0,14.0,1,-1.0,0,5.0,1,19.0,1,-1.0,0,0,0.0,114760.18,0.0,0.0,0.0,0.0,-1.0,0
41,1,0,22.0,1,0.0,1,22.0,1,-1.0,0,43.0,1,0,0.0,118187.1,0.0,0.0,0.0,0.0,-1.0,0
40,1,0,38.0,1,0.0,1,1.0,1,15.0,1,-1.0,0,0,0.0,131433.78,0.0,0.0,0.0,0.0,-1.0,0
99,1,0,45.0,1,0.0,1,37.0,1,38.0,1,-1.0,0,0,0.0,161222.74,0.0,0.0,0.0,0.0,-1.0,0
48,1,0,-1.0,0,1.0,1,39.0,1,70.0,1,-1.0,0,0,0.0,184219.2,0.0,0.0,0.0,0.0,-1.0,0
23,1,0,18.0,1,35.0,1,-1.0,0,36.0,1,32.0,1,0,0.0,202158.21,0.0,0.0,0.0,0.0,-1.0,0
22,1,4,1.0,1,1.0,1,25.0,1,-1.0,0,-1.0,0,0,0.0,207329.63,0.0,0.0,0.0,0.0,-1.0,0
46,1,0,2.0,1,1.0,1,28.0,1,-1.0,0,-1.0,0,0,0.0,219248.17,0.0,0.0,0.0,0.0,-1.0,0
2,1,0,29.0,1,29.0,1,29.0,1,29.0,1,-1.0,0,0,0.0,234964.9,0.0,0.0,0.0,0.0,-1.0,0
6,1,0,5.0,1,15.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,402611.14,0.0,0.0,0.0,0.0,-1.0,0
144,1,0,0.0,1,33.0,1,6.0,1,30.0,1,-1.0,0,0,0.0,410885.55,0.0,0.0,0.0,0.0,-1.0,0
2,1,0,-1.0,0,0.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
19,1,0,0.0,1,0.0,1,1.0,1,33.0,1,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
12,1,0,1.0,1,1.0,1,1.0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
49,1,0,1.0,1,1.0,1,23.0,1,-1.0,0,56.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
11,1,0,38.0,1,38.0,1,49.0,1,56.0,1,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
21,1,0,89.0,1,45.0,1,-1.0,0,69.0,1,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
2,1,0,10.0,1,-1.0,0,14.0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
3,1,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
4,1,0,13.0,1,-1.0,0,13.0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
5,1,0,78.0,1,-1.0,0,39.0,1,-1.0,0,105.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
6,1,0,28.0,1,-1.0,0,37.0,1,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
6,1,0,6.0,1,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
14,1,0,3.0,1,-1.0,0,-1.0,0,58.0,1,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
33,1,0,49.0,1,-1.0,0,147.0,1,77.0,1,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
42,1,0,7.0,1,-1.0,0,7.0,1,52.0,1,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
0,1,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
0,1,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
0,1,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0
31,0,0,66.0,1,0.0,1,35.0,1,42.0,1,37.0,1,0,0.0,187.18,0.0,0.0,0.0,0.0,-1.0,0
25,0,0,115.0,1,7.0,1,8.0,1,9.0,1,58.0,1,0,0.0,199.0,0.0,0.0,0.0,0.0,-1.0,0
13,0,0,2.0,1,0.0,1,6.0,1,113.0,1,-1.0,0,0,0.0,319.8,0.0,0.0,0.0,0.0,-1.0,0
5,1,0,-1.0,0,9.0,1,-1.0,0,22.0,1,-1.0,0,0,0.0,512.69,0.0,0.0,0.0,0.0,-1.0,0
5,0,0,-1.0,0,5.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,580.3,0.0,0.0,0.0,0.0,-1.0,0
24,0,0,-1.0,0,151.0,1,143.0,1,168.0,1,-1.0,0,0,0.0,1898.4,0.0,0.0,0.0,0.0,-1.0,0
2,0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,2924.13,0.0,0.0,0.0,0.0,-1.0,0
2,0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,5300.64,0.0,0.0,0.0,0.0,-1.0,0
28,0,0,11.0,1,0.0,1,21.0,1,1.0,1,78.0,1,0,0.0,5525.81,0.0,0.0,0.0,0.0,-1.0,0
62,0,0,74.0,1,2.0,1,105.0,1,3.0,1,72.0,1,0,0.0,6373.59,0.0,0.0,0.0,0.0,-1.0,0
24,1,0,89.0,1,8.0,1,26.0,1,9.0,1,54.0,1,0,0.0,7018.55,0.0,0.0,0.0,0.0,-1.0,0
0,0,0,126.0,1,-1.0,0,17.0,1,33.0,1,-1.0,0,0,0.0,8936.54,0.0,0.0,0.0,0.0,-1.0,0
7,0,0,-1.0,0,1.0,1,24.0,1,-1.0,0,44.0,1,0,0.0,13317.81,0.0,0.0,0.0,0.0,-1.0,0
32,0,0,84.0,1,-1.0,0,-1.0,0,-1.0,0,46.0,1,0,0.0,15946.09,0.0,0.0,0.0,0.0,-1.0,0
16,0,0,89.0,1,11.0,1,65.0,1,66.0,1,-1.0,0,0,0.0,17131.45,0.0,0.0,0.0,0.0,-1.0,0
8,0,0,-1.0,0,8.0,1,-1.0,0,47.0,1,47.0,1,0,0.0,19250.87,0.0,0.0,0.0,0.0,-1.0,0
90,0,0,78.0,1,0.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,21676.78,0.0,0.0,0.0,0.0,-1.0,0
12,0,0,-1.0,0,149.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,22299.85,0.0,0.0,0.0,0.0,-1.0,0
71,0,0,-1.0,0,1.0,1,49.0,1,59.0,1,-1.0,0,0,0.0,24365.74,0.0,0.0,0.0,0.0,-1.0,0
2,0,0,154.0,1,1.0,1,154.0,1,-1.0,0,154.0,1,0,0.0,26870.1,0.0,0.0,0.0,0.0,-1.0,0
39,1,0,109.0,1,1.0,1,105.0,1,109.0,1,112.0,1,0,0.0,31234.21,0.0,0.0,0.0,0.0,-1.0,0
0,0,0,182.0,1,0.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,32993.87,0.0,0.0,0.0,0.0,-1.0,0
10,0,0,-1.0,0,1.0,1,10.0,1,44.0,1,-1.0,0,0,0.0,33168.58,0.0,0.0,0.0,0.0,-1.0,0
56,0,0,193.0,1,11.0,1,74.0,1,34.0,1,83.0,1,0,0.0,43947.24,0.0,0.0,0.0,0.0,-1.0,0
22,0,0,74.0,1,0.0,1,57.0,1,58.0,1,-1.0,0,0,0.0,44098.28,0.0,0.0,0.0,0.0,-1.0,0
22,0,0,0.0,1,42.0,1,-1.0,0,42.0,1,-1.0,0,0,0.0,45343.18,0.0,0.0,0.0,0.0,-1.0,0
20,0,0,22.0,1,7.0,1,20.0,1,21.0,1,39.0,1,0,0.0,45851.02,0.0,0.0,0.0,0.0,-1.0,0
30,0,0,87.0,1,41.0,1,-1.0,0,42.0,1,156.0,1,0,0.0,47879.96,0.0,0.0,0.0,0.0,-1.0,0
21,0,0,-1.0,0,9.0,1,31.0,1,123.0,1,84.0,1,0,0.0,54143.36,0.0,0.0,0.0,0.0,-1.0,0
32,0,0,-1.0,0,1.0,1,1.0,1,14.0,1,-1.0,0,0,0.0,56966.8,0.0,0.0,0.0,0.0,-1.0,0
15,0,0,114.0,1,0.0,1,15.0,1,15.0,1,-1.0,0,0,0.0,57854.57,0.0,0.0,0.0,0.0,-1.0,0
17,0,0,42.0,1,0.0,1,13.0,1,12.0,1,43.0,1,0,0.0,59278.19,0.0,0.0,0.0,0.0,-1.0,0
179,0,0,39.0,1,0.0,1,32.0,1,0.0,1,43.0,1,0,0.0,72413.15,0.0,0.0,0.0,0.0,-1.0,0
31,0,0,-1.0,0,5.0,1,-1.0,0,-1.0,0,-1.0,0,0,0.0,73306.04,0.0,0.0,0.0,0.0,-1.0,0
56,0,0,0.0,1,0.0,1,35.0,1,41.0,1,-1.0,0,0,0.0,79811.04,0.0,0.0,0.0,0.0,-1.0,0
31,0,0,84.0,1,10.0,1,33.0,1,129.0,1,138.0,1,0,0.0,87939.8,0.0,0.0,0.0,0.0,-1.0,0
10,0,0,99.0,1,5.0,1,97.0,1,104.0,1,-1.0,0,0,0.0,94502.18,0.0,0.0,0.0,0.0,-1.0,0
12,0,0,-1.0,0,7.0,1,63.0,1,71.0,1,-1.0,0,0,0.0,103903.79,0.0,0.0,0.0,0.0,-1.0,0
56,0,0,66.0,1,27.0,1,76.0,1,-1.0,0,86.0,1,0,0.0,108114.18,0.0,0.0,0.0,0.0,-1.0,0
10,0,0,7.0,1,13.0,1,7.0,1,-1.0,0,-1.0,0,0,0.0,114810.48,0.0,0.0,0.0,0.0,-1.0,0
18,0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,-1.0,0,0,0.0,180591.78,0.0,0.0,0.0,0.0,-1.0,0
